Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),28.97,25.31,30.34,2896.57,25.66,27.32,27.68,28.49,29.22,29.58,29.95,30.10,30.30,0.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,224.11,33.00,913.00,22411.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.31
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.21
HTTP Connection Overhead (ms),0.04,0.00,3.50,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.35
HTTP Connection Reused (ratio),0.99,0.00,1.00,99.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),59.10,9.23,238.62,5909.92,13.40,21.52,24.15,30.40,46.61,79.61,109.18,118.66,175.68,38.39
HTTP Data Sent (KB),6.63,1.70,13.47,662.66,1.71,2.21,3.05,4.20,6.10,8.77,10.81,11.58,12.80,2.90
HTTP DNS Lookup (ms),0.01,0.00,1.39,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14
HTTP Duration (excl. conn) (ms),7666.61,1214.16,31515.38,766661.18,1798.09,2883.00,3143.07,3970.88,6068.20,10327.08,14284.17,15149.77,22552.06,4951.01
HTTP Receiving (ms),7427.19,1050.24,30844.64,742719.42,1601.25,2644.62,2927.28,3795.10,5838.43,10178.96,13973.03,15021.81,22330.01,4934.82
HTTP Sending (ms),0.14,0.08,2.52,13.72,0.08,0.08,0.09,0.09,0.11,0.14,0.15,0.15,0.19,0.24
HTTP Total Time (ms),7666.65,1214.16,31515.38,766664.68,1798.09,2883.00,3143.07,3970.88,6068.20,10327.08,14284.17,15149.77,22552.06,4951.03
HTTP Waiting (TTFB) (ms),239.28,49.05,670.65,23928.04,61.65,88.07,95.43,184.35,244.12,287.80,335.28,374.33,612.79,101.19
Input Sequence Length (tokens),1610.83,387.00,3312.00,161083.00,387.99,473.70,661.20,998.50,1441.00,2234.50,2797.20,2989.10,3187.26,782.48
Inter Chunk Latency (ms),34.07,19.80,105.84,742453.48,31.84,32.25,32.43,32.74,33.14,33.66,34.54,35.54,68.16,6.77
Inter Token Latency (ms),33.24,32.64,34.07,3324.30,32.71,32.75,32.81,32.95,33.18,33.51,33.79,33.85,34.01,0.36
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),224.11,33.00,913.00,22411.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.31
Output Token Count (tokens),224.11,33.00,913.00,22411.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.31
Output Token Throughput Per User (tokens/sec/user),30.09,29.35,30.63,3008.51,29.40,29.54,29.60,29.84,30.13,30.35,30.48,30.53,30.57,0.32
Prefill Throughput Per User (tokens/sec/user),8372.96,1388.64,45662.17,837296.02,1992.50,2404.01,2784.77,4150.45,6234.41,10225.44,17126.81,22445.23,42141.56,7290.14
Request Latency (ms),7664.02,1214.21,31515.42,766401.82,1798.15,2883.06,3143.12,3970.94,6068.24,10327.13,14284.22,15149.82,22552.12,4950.56
Time to First Output Token (ms),239.48,49.19,670.80,23948.34,61.84,88.28,95.79,184.53,244.31,287.97,335.44,374.53,612.94,101.15
Time to First Token (ms),239.48,49.19,670.80,23948.34,61.84,88.28,95.79,184.53,244.31,287.97,335.44,374.53,612.94,101.15
Time to Second Token (ms),31.43,19.80,35.83,3142.97,21.43,22.67,31.02,31.65,31.98,32.53,33.40,34.07,34.77,2.93
Usage Completion Tokens (tokens),224.11,33.00,913.00,22411.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.31
Usage Prompt Tokens (tokens),1610.83,387.00,3312.00,161083.00,387.99,473.70,661.20,998.50,1441.00,2234.50,2797.20,2989.10,3187.26,782.48
Usage Total Tokens (tokens),1834.94,557.00,3569.00,183494.00,567.89,723.50,834.00,1194.75,1679.00,2410.00,2956.30,3114.05,3532.37,806.84

Metric,Value
Benchmark Duration (sec),766.77
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),29.23
Request Count,100.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),161083.00
Total Output Sequence Length (tokens),22411.00
Total Output Tokens (tokens),22411.00
Total Token Throughput (tokens/sec),239.31
Total Usage Completion Tokens (tokens),22411.00
Total Usage Prompt Tokens (tokens),161083.00
Total Usage Total Tokens (tokens),183494.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
