Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),29.30,17.20,30.71,2929.62,22.91,27.35,28.07,29.20,29.67,30.21,30.44,30.52,30.60,1.71
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.22
HTTP Connection Overhead (ms),0.04,0.00,3.66,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.36
HTTP Connection Reused (ratio),0.99,0.00,1.00,99.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),65.16,3.24,193.43,6516.45,5.32,13.96,20.61,35.50,62.82,85.89,117.26,128.00,170.75,38.58
HTTP Data Sent (KB),3.14,0.28,8.93,314.00,0.29,0.30,0.34,0.97,2.78,4.99,6.89,7.40,8.84,2.47
HTTP DNS Lookup (ms),0.01,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14
HTTP Duration (excl. conn) (ms),8290.57,581.36,24197.92,829057.19,781.50,1920.90,2624.39,4547.52,8009.29,10898.77,14648.56,16230.24,21392.68,4831.47
HTTP Receiving (ms),8080.38,290.23,24037.38,808037.58,547.86,1637.83,2447.35,4332.73,7787.08,10644.62,14475.98,15998.66,21200.57,4843.55
HTTP Sending (ms),0.13,0.08,2.62,13.45,0.08,0.08,0.09,0.09,0.10,0.13,0.14,0.15,0.19,0.25
HTTP Total Time (ms),8290.61,581.36,24197.92,829060.85,781.50,1920.90,2624.39,4547.52,8009.29,10898.77,14648.56,16230.24,21392.68,4831.47
HTTP Waiting (TTFB) (ms),210.06,41.28,353.40,21006.17,44.46,88.60,103.42,152.00,221.95,266.98,290.00,313.30,342.14,72.30
Input Sequence Length (tokens),632.51,13.00,1924.00,63251.00,15.97,19.90,24.90,167.25,534.50,1022.50,1458.60,1567.75,1809.16,537.12
Inter Chunk Latency (ms),33.09,20.49,101.40,807939.64,30.87,31.57,31.83,32.23,32.69,33.25,34.07,34.92,37.35,3.58
Inter Token Latency (ms),32.79,31.75,33.49,3278.88,32.24,32.41,32.47,32.54,32.75,33.01,33.21,33.33,33.42,0.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Count (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Throughput Per User (tokens/sec/user),30.50,29.86,31.50,3050.09,29.92,30.01,30.12,30.30,30.54,30.73,30.80,30.86,31.02,0.29
Prefill Throughput Per User (tokens/sec/user),3255.34,93.44,20497.90,325534.23,112.19,130.65,165.83,791.63,2374.09,4401.69,7508.87,9461.21,16064.21,3511.59
Request Latency (ms),8289.66,581.40,24197.98,828965.84,781.57,1920.96,2624.45,4547.58,8009.34,10898.82,14648.61,16230.30,21392.73,4831.86
Time to First Output Token (ms),210.26,41.42,353.61,21026.20,44.68,88.74,103.56,152.16,222.13,267.18,290.16,313.44,342.37,72.27
Time to First Token (ms),210.26,41.42,353.61,21026.20,44.68,88.74,103.56,152.16,222.13,267.18,290.16,313.44,342.37,72.27
Time to Second Token (ms),29.53,20.49,35.72,2953.09,20.90,21.73,22.08,23.97,31.79,32.43,32.87,33.82,35.58,4.52
Usage Completion Tokens (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Usage Prompt Tokens (tokens),632.51,13.00,1924.00,63251.00,15.97,19.90,24.90,167.25,534.50,1022.50,1458.60,1567.75,1809.16,537.12
Usage Total Tokens (tokens),879.74,60.00,2199.00,87974.00,97.62,145.80,206.40,487.25,776.50,1258.50,1638.50,1904.15,2090.10,543.10

Metric,Value
Benchmark Duration (sec),829.23
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),29.81
Request Count,100.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),63251.00
Total Output Sequence Length (tokens),24723.00
Total Output Tokens (tokens),24723.00
Total Token Throughput (tokens/sec),106.09
Total Usage Completion Tokens (tokens),24723.00
Total Usage Prompt Tokens (tokens),63251.00
Total Usage Total Tokens (tokens),87974.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
