Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),30.18,29.27,30.57,603.52,29.34,29.64,29.76,30.09,30.30,30.37,30.46,30.49,30.56,0.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,2.15,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.74,0.47
HTTP Connection Overhead (ms),0.18,0.00,3.60,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.92,0.79
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),78.58,19.78,167.74,1571.69,25.29,47.36,49.85,64.60,75.91,86.92,112.24,121.94,158.58,29.68
HTTP Data Sent (KB),3.15,0.28,8.81,62.90,0.29,0.32,0.33,0.48,2.50,4.83,7.13,7.71,8.59,2.68
HTTP DNS Lookup (ms),0.07,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.18,0.32
HTTP Duration (excl. conn) (ms),9870.78,2494.29,21029.71,197415.51,3174.79,5896.80,6208.28,8142.18,9503.69,10874.66,13979.00,15275.70,19878.91,3714.15
HTTP Receiving (ms),9760.96,2337.79,20876.51,195219.28,3031.80,5807.85,6117.43,7997.08,9433.12,10763.45,13886.60,15154.72,19732.15,3713.59
HTTP Sending (ms),0.24,0.08,2.56,4.73,0.08,0.09,0.09,0.09,0.11,0.14,0.15,0.28,2.10,0.53
HTTP Total Time (ms),9870.96,2494.29,21029.71,197419.11,3174.79,5896.80,6208.28,8142.18,9503.69,10874.66,13979.00,15275.70,19878.91,3714.07
HTTP Waiting (TTFB) (ms),109.58,42.19,156.41,2191.50,43.47,48.63,72.02,90.86,100.93,139.70,146.73,153.24,155.78,32.57
Input Sequence Length (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Inter Chunk Latency (ms),32.93,21.21,102.89,195219.08,31.24,31.81,32.01,32.30,32.63,33.09,33.86,34.73,36.32,2.48
Inter Token Latency (ms),32.81,32.47,33.33,656.23,32.49,32.55,32.56,32.61,32.75,32.99,33.14,33.24,33.31,0.24
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),30.48,30.00,30.80,609.57,30.02,30.09,30.17,30.31,30.53,30.67,30.72,30.72,30.78,0.23
Prefill Throughput Per User (tokens/sec/user),6312.49,93.60,20018.48,126249.79,106.16,156.38,268.76,681.48,5208.38,10049.47,12176.42,16480.35,19310.85,5819.25
Request Latency (ms),9870.83,2494.33,21029.77,197416.69,3174.84,5896.84,6208.32,8142.23,9503.75,10874.72,13979.04,15275.74,19878.97,3714.15
Time to First Output Token (ms),109.88,42.41,156.56,2197.61,43.68,48.78,72.24,91.00,101.07,139.90,146.88,153.44,155.93,32.67
Time to First Token (ms),109.88,42.41,156.56,2197.61,43.68,48.78,72.24,91.00,101.07,139.90,146.88,153.44,155.93,32.67
Time to Second Token (ms),32.50,31.50,34.95,650.09,31.52,31.61,31.65,31.94,32.18,32.60,34.07,34.86,34.93,0.99
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Tokens (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Usage Total Tokens (tokens),883.40,98.00,1904.00,17668.00,119.09,203.45,265.70,487.25,768.50,1314.25,1626.70,1680.75,1859.35,518.56

Metric,Value
Benchmark Duration (sec),197.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),30.24
Request Count,20.00
Request Throughput (requests/sec),0.10
Total Input Sequence Length (tokens),11698.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),89.48
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Tokens (tokens),11698.00
Total Usage Total Tokens (tokens),17668.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
