Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),28.73,28.05,29.55,287.32,28.07,28.16,28.27,28.39,28.70,28.98,29.33,29.44,29.53,0.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),61.83,30.40,114.51,618.25,30.48,30.79,31.18,35.90,40.74,98.75,111.15,112.83,114.17,34.00
HTTP Data Sent (KB),7.50,2.13,13.47,75.04,2.30,2.97,3.82,5.49,7.75,8.97,11.00,12.23,13.22,3.12
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8113.46,4023.54,14879.24,81134.57,4033.60,4073.84,4124.13,4705.72,5410.10,12917.12,14669.58,14774.41,14858.27,4437.55
HTTP Receiving (ms),7798.77,3778.17,14558.19,77987.72,3786.98,3822.22,3866.26,4439.56,5032.19,12578.19,14312.23,14435.21,14533.60,4414.41
HTTP Sending (ms),0.13,0.08,0.15,1.28,0.08,0.09,0.09,0.13,0.14,0.14,0.15,0.15,0.15,0.02
HTTP Total Time (ms),8113.46,4023.54,14879.24,81134.57,4033.60,4073.84,4124.13,4705.72,5410.10,12917.12,14669.58,14774.41,14858.27,4437.55
HTTP Waiting (TTFB) (ms),314.56,245.23,448.59,3145.56,246.49,251.51,257.79,266.03,310.74,340.42,369.98,409.29,440.73,57.58
Input Sequence Length (tokens),1686.40,462.00,2978.00,16864.00,495.48,629.40,796.80,1281.25,1781.50,2001.75,2471.30,2724.65,2927.33,699.79
Inter Chunk Latency (ms),33.91,10.99,101.15,77987.60,23.28,32.00,32.33,32.83,33.38,34.00,34.93,35.99,55.13,5.50
Inter Token Latency (ms),33.31,32.77,33.93,333.09,32.79,32.85,32.94,33.07,33.32,33.46,33.70,33.82,33.91,0.33
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Output Token Count (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Output Token Throughput Per User (tokens/sec/user),30.02,29.47,30.52,300.25,29.49,29.57,29.67,29.89,30.01,30.24,30.36,30.44,30.50,0.30
Prefill Throughput Per User (tokens/sec/user),5512.91,1467.78,8299.47,55129.10,1580.04,2029.11,2590.44,3436.95,5920.48,7222.89,8244.90,8272.18,8294.01,2298.36
Request Latency (ms),8113.52,4023.61,14879.30,81135.16,4033.66,4073.89,4124.18,4705.78,5410.16,12917.18,14669.64,14774.47,14858.33,4437.54
Time to First Output Token (ms),314.76,245.44,448.80,3147.56,246.69,251.69,257.94,266.24,310.96,340.59,370.19,409.50,440.94,57.58
Time to First Token (ms),314.76,245.44,448.80,3147.56,246.69,251.69,257.94,266.24,310.96,340.59,370.19,409.50,440.94,57.58
Time to Second Token (ms),19.41,10.99,22.89,194.12,11.44,13.22,15.45,20.26,20.53,20.70,21.41,22.15,22.74,3.25
Usage Completion Tokens (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Usage Prompt Tokens (tokens),1686.40,462.00,2978.00,16864.00,495.48,629.40,796.80,1281.25,1781.50,2001.75,2471.30,2724.65,2927.33,699.79
Usage Total Tokens (tokens),1920.80,725.00,3400.00,19208.00,748.13,840.65,956.30,1434.00,1916.50,2274.75,2886.10,3143.05,3348.61,771.47

Metric,Value
Benchmark Duration (sec),81.15
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.88
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),16864.00
Total Output Sequence Length (tokens),2344.00
Total Output Tokens (tokens),2344.00
Total Token Throughput (tokens/sec),236.69
Total Usage Completion Tokens (tokens),2344.00
Total Usage Prompt Tokens (tokens),16864.00
Total Usage Total Tokens (tokens),19208.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
