Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),30.14,29.21,30.58,301.41,29.26,29.46,29.71,29.91,30.28,30.43,30.49,30.54,30.57,0.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),73.49,19.78,119.53,734.88,22.39,32.84,45.90,54.97,75.97,82.01,112.24,115.88,118.80,27.88
HTTP Data Sent (KB),3.19,0.32,8.81,31.87,0.32,0.33,0.33,0.65,2.25,4.98,7.25,8.03,8.65,2.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),9228.26,2499.22,14961.03,92282.57,2821.17,4108.96,5718.70,6890.89,9539.82,10414.98,13974.37,14467.70,14862.37,3485.41
HTTP Receiving (ms),9123.14,2346.03,14841.65,91231.40,2673.86,3985.21,5624.40,6798.06,9443.00,10288.23,13882.85,14362.25,14745.77,3491.37
HTTP Sending (ms),0.10,0.09,0.14,1.01,0.09,0.09,0.09,0.09,0.09,0.09,0.14,0.14,0.14,0.02
HTTP Total Time (ms),9228.26,2499.22,14961.03,92282.57,2821.17,4108.96,5718.70,6890.89,9539.82,10414.98,13974.37,14467.70,14862.37,3485.41
HTTP Waiting (TTFB) (ms),105.02,75.51,153.10,1050.17,76.60,80.96,86.41,88.97,96.22,114.30,144.65,148.87,152.26,24.21
Input Sequence Length (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Inter Chunk Latency (ms),32.95,3.19,100.21,91231.30,30.53,31.48,31.76,32.21,32.70,33.24,34.10,34.91,41.84,2.86
Inter Token Latency (ms),32.81,32.55,33.35,328.07,32.55,32.56,32.57,32.59,32.72,32.93,33.18,33.27,33.34,0.27
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Count (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Throughput Per User (tokens/sec/user),30.48,29.98,30.72,304.83,30.00,30.06,30.14,30.37,30.56,30.69,30.71,30.72,30.72,0.24
Prefill Throughput Per User (tokens/sec/user),5845.09,163.14,16650.50,58450.87,173.05,212.71,262.27,1060.08,4944.57,9124.82,11190.66,13920.58,16104.51,5235.35
Request Latency (ms),9228.31,2499.27,14961.08,92283.06,2821.22,4109.01,5718.76,6890.94,9539.87,10415.02,13974.42,14467.75,14862.41,3485.41
Time to First Output Token (ms),105.18,75.66,153.25,1051.76,76.75,81.13,86.60,89.13,96.36,114.45,144.80,149.02,152.40,24.20
Time to First Token (ms),105.18,75.66,153.25,1051.76,76.75,81.13,86.60,89.13,96.36,114.45,144.80,149.02,152.40,24.20
Time to Second Token (ms),32.93,31.41,34.92,329.30,31.45,31.62,31.83,32.22,32.61,33.85,34.35,34.64,34.87,1.10
Usage Completion Tokens (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Usage Prompt Tokens (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Usage Total Tokens (tokens),872.70,98.00,1904.00,8727.00,107.99,147.95,197.90,473.75,821.50,1217.50,1650.20,1777.10,1878.62,566.56

Metric,Value
Benchmark Duration (sec),92.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),30.23
Request Count,10.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),5937.00
Total Output Sequence Length (tokens),2790.00
Total Output Tokens (tokens),2790.00
Total Token Throughput (tokens/sec),94.55
Total Usage Completion Tokens (tokens),2790.00
Total Usage Prompt Tokens (tokens),5937.00
Total Usage Total Tokens (tokens),8727.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
