Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),7.31,2.89,10.13,146.27,3.05,3.71,3.78,6.41,7.87,8.77,9.02,9.60,10.03,2.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,232.85,76.00,437.00,4657.00,82.08,106.40,109.80,128.50,147.50,353.00,422.50,427.50,435.10,129.24
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.37,0.00,167.41,167.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,135.60,36.49
HTTP Connection Overhead (ms),8.46,0.00,169.21,169.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.46,137.06,36.88
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),76.93,26.42,144.64,1538.69,28.23,35.48,37.05,43.91,50.03,113.77,140.19,140.94,143.90,41.67
HTTP Data Sent (KB),7.00,2.13,13.47,140.06,2.28,2.87,3.66,4.89,6.39,8.62,10.86,11.70,13.11,2.99
HTTP DNS Lookup (ms),0.09,0.00,1.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.46,0.39
HTTP Duration (excl. conn) (ms),34712.69,10297.38,93529.55,694253.73,10789.98,12760.38,15593.11,16932.58,30515.35,49959.32,55283.27,59405.21,86704.68,20295.31
HTTP Receiving (ms),14094.90,4017.33,27707.02,281898.04,4264.61,5253.70,6562.33,7494.27,9109.52,22141.72,26796.37,27078.99,27581.41,8439.68
HTTP Sending (ms),8.51,0.08,167.83,170.18,0.08,0.09,0.11,0.13,0.13,0.13,0.14,8.54,135.97,36.55
HTTP Total Time (ms),34721.15,10297.38,93529.55,694422.94,10789.98,12760.38,15593.11,16932.58,30515.35,49959.32,55300.19,59565.96,86736.83,20304.89
HTTP Waiting (TTFB) (ms),20609.28,6189.42,66760.79,412185.51,6206.61,6275.39,8476.33,9445.94,16667.81,24261.93,40385.85,47333.36,62875.30,15040.56
Input Sequence Length (tokens),1658.00,462.00,3124.00,33160.00,498.29,643.45,797.90,1053.25,1579.50,2089.75,2903.30,2985.30,3096.26,760.80
Inter Chunk Latency (ms),61.67,0.00,518.70,281759.87,0.00,41.34,48.50,54.27,60.03,65.24,73.45,88.93,185.82,25.40
Inter Token Latency (ms),57.93,48.80,68.94,1158.65,48.92,49.40,50.70,53.56,57.98,60.38,65.83,66.15,68.38,5.52
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Count (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Throughput Per User (tokens/sec/user),17.42,14.50,20.49,348.36,14.63,15.12,15.19,16.56,17.25,18.67,19.72,20.24,20.44,1.65
Prefill Throughput Per User (tokens/sec/user),117.60,25.64,329.10,2352.01,25.76,26.24,26.39,50.35,107.09,147.28,216.26,290.20,321.32,81.99
Request Latency (ms),34705.85,10296.84,93448.94,694116.93,10789.48,12760.03,15591.87,16924.41,30515.25,49946.02,55283.25,59401.35,86639.42,20284.31
Time to First Output Token (ms),20617.85,6189.55,66760.97,412357.06,6206.76,6275.58,8476.51,9446.09,16668.00,24262.14,40537.10,47333.55,62875.49,15051.28
Time to First Token (ms),20617.85,6189.55,66760.97,412357.06,6206.76,6275.58,8476.51,9446.09,16668.00,24262.14,40537.10,47333.55,62875.49,15051.28
Time to Second Token (ms),40.83,8.55,81.67,816.67,8.74,9.49,9.61,32.58,44.30,50.31,60.92,77.56,80.85,20.90
Usage Completion Tokens (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Usage Prompt Cache Read Tokens (tokens),1150.50,3.00,2895.00,23010.00,5.47,15.35,16.00,351.25,1139.00,1754.75,2264.70,2439.00,2803.80,867.37
Usage Prompt Tokens (tokens),1658.00,462.00,3124.00,33160.00,498.29,643.45,797.90,1053.25,1579.50,2089.75,2903.30,2985.30,3096.26,760.80
Usage Total Tokens (tokens),1896.30,725.00,3427.00,37926.00,732.22,761.10,880.90,1334.50,1791.00,2408.00,3076.00,3401.35,3421.87,824.70

Metric,Value
Benchmark Duration (sec),694.41
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6.86
Overall Usage Prompt Cache Read % (%),69.39
Request Count,20.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),33160.00
Total Output Sequence Length (tokens),4766.00
Total Output Tokens (tokens),4766.00
Total Token Throughput (tokens/sec),54.62
Total Usage Completion Tokens (tokens),4766.00
Total Usage Prompt Cache Read Tokens (tokens),23010.00
Total Usage Prompt Tokens (tokens),33160.00
Total Usage Total Tokens (tokens),37926.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
