Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.62,8.47,21.98,272.35,8.60,9.12,9.15,10.28,11.40,18.69,19.90,21.13,21.81,4.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,288.10,74.00,641.00,5762.00,95.47,181.35,187.90,232.25,273.50,316.50,403.40,427.25,598.25,112.04
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),9.18,0.00,183.64,183.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.18,148.75,40.02
HTTP Connection Overhead (ms),9.28,0.00,185.55,185.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.28,150.29,40.44
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),96.40,24.17,205.89,1928.09,30.96,58.11,61.06,79.20,93.13,106.53,137.72,149.64,194.64,36.45
HTTP Data Sent (KB),3.15,0.28,8.81,62.90,0.29,0.32,0.33,0.48,2.50,4.83,7.13,7.71,8.59,2.68
HTTP DNS Lookup (ms),0.10,0.00,1.91,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.55,0.42
HTTP Duration (excl. conn) (ms),23588.59,3928.87,33769.28,471771.88,4849.14,8530.20,11484.73,21084.47,26159.37,29202.29,32460.54,32821.26,33579.68,8138.25
HTTP Receiving (ms),14894.95,3028.33,30349.85,297898.97,3954.82,7660.80,9006.29,11709.32,14800.95,17301.39,20138.32,22309.52,28741.78,5568.04
HTTP Sending (ms),9.32,0.08,184.07,186.31,0.08,0.08,0.09,0.09,0.12,0.13,0.15,9.39,149.13,40.09
HTTP Total Time (ms),23597.87,3928.87,33769.28,471957.42,4849.14,8530.20,11484.73,21084.47,26159.37,29202.29,32460.54,32821.26,33579.68,8126.17
HTTP Waiting (TTFB) (ms),8684.33,510.12,17712.04,173686.60,578.05,849.76,897.14,2412.41,10015.49,12638.88,13631.91,13844.56,16938.55,5182.38
Input Sequence Length (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Inter Chunk Latency (ms),50.28,0.00,670.87,297805.48,0.00,22.11,39.45,44.87,49.42,54.45,59.45,64.21,147.60,26.51
Inter Token Latency (ms),49.90,42.06,58.05,998.09,42.23,42.91,43.63,47.26,48.61,53.52,56.44,57.67,57.97,4.71
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),20.22,17.23,23.78,404.35,17.25,17.34,17.72,18.68,20.57,21.16,22.92,23.30,23.68,1.91
Prefill Throughput Per User (tokens/sec/user),55.67,24.50,143.49,1113.41,24.69,25.43,27.44,27.75,34.98,79.13,108.39,121.32,139.06,35.30
Request Latency (ms),23583.99,3928.62,33769.34,471679.72,4848.83,8529.67,11483.81,21083.73,26158.60,29173.50,32460.52,32820.54,33579.58,8135.74
Time to First Output Token (ms),8693.71,510.26,17712.25,173874.24,578.20,849.95,897.32,2412.60,10015.69,12639.07,13632.09,13844.69,16938.74,5169.81
Time to First Token (ms),8693.71,510.26,17712.25,173874.24,578.20,849.95,897.32,2412.60,10015.69,12639.07,13632.09,13844.69,16938.74,5169.81
Time to Second Token (ms),37.33,0.00,86.44,746.58,1.69,8.44,9.20,19.39,38.99,53.73,60.89,67.54,82.66,22.19
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Cache Read Tokens (tokens),361.20,3.00,1313.00,7224.00,3.00,3.00,3.00,3.00,132.50,682.75,1022.70,1197.10,1289.82,433.02
Usage Prompt Tokens (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Usage Total Tokens (tokens),883.40,98.00,1904.00,17668.00,119.09,203.45,265.70,487.25,768.50,1314.25,1626.70,1680.75,1859.35,518.56

Metric,Value
Benchmark Duration (sec),471.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),12.65
Overall Usage Prompt Cache Read % (%),61.75
Request Count,20.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),11698.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),37.45
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Cache Read Tokens (tokens),7224.00
Total Usage Prompt Tokens (tokens),11698.00
Total Usage Total Tokens (tokens),17668.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
