Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.51,8.49,21.63,270.25,8.60,9.05,9.17,10.13,11.42,18.17,19.71,20.76,21.45,4.38
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,297.70,73.00,642.00,5954.00,94.47,180.35,188.70,244.25,282.00,319.75,429.10,466.25,606.85,114.09
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.97,0.00,179.34,179.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.97,145.27,39.09
HTTP Connection Overhead (ms),9.04,0.00,180.77,180.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.04,146.42,39.40
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),96.40,24.17,205.89,1928.09,30.96,58.11,61.06,79.20,93.13,106.53,137.72,149.64,194.64,36.45
HTTP Data Sent (KB),3.15,0.28,8.81,62.90,0.29,0.32,0.33,0.48,2.50,4.83,7.13,7.71,8.59,2.68
HTTP DNS Lookup (ms),0.07,0.00,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.15,0.31
HTTP Duration (excl. conn) (ms),23701.64,4091.42,34023.62,474032.89,5011.23,8690.47,11673.32,21101.43,26188.85,28986.86,32766.67,32931.37,33805.17,8158.00
HTTP Receiving (ms),14996.05,3179.54,30678.57,299921.01,4104.07,7802.22,8824.07,11759.10,14998.45,17248.55,20227.73,22487.83,29040.42,5596.35
HTTP Sending (ms),9.10,0.09,179.61,181.95,0.09,0.09,0.09,0.12,0.13,0.14,0.15,9.13,145.51,39.12
HTTP Total Time (ms),23710.68,4091.42,34023.62,474213.66,5011.23,8690.47,11673.32,21101.43,26188.85,28986.86,32766.67,32931.37,33805.17,8146.08
HTTP Waiting (TTFB) (ms),8696.50,487.29,17760.16,173929.94,563.21,866.89,909.30,2391.72,10072.41,12675.11,13533.17,13754.10,16958.95,5197.41
Input Sequence Length (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Inter Chunk Latency (ms),50.63,0.00,721.66,299855.71,32.75,39.86,42.37,45.75,50.02,54.23,58.60,61.79,72.36,15.61
Inter Token Latency (ms),50.31,43.72,58.86,1006.23,43.81,44.14,44.49,47.14,49.11,53.54,56.67,58.14,58.72,4.63
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),20.04,16.99,22.87,400.85,17.03,17.20,17.65,18.68,20.37,21.21,22.48,22.66,22.83,1.81
Prefill Throughput Per User (tokens/sec/user),55.68,25.02,142.79,1113.51,25.33,26.59,27.02,27.87,34.97,78.96,108.07,122.11,138.65,35.26
Request Latency (ms),23698.45,4091.47,34022.67,473968.90,5011.25,8690.37,11671.96,21101.36,26188.78,28985.79,32766.01,32930.60,33804.26,8156.42
Time to First Output Token (ms),8705.66,487.49,17760.38,174113.19,563.41,867.10,909.45,2391.90,10072.60,12675.31,13533.36,13754.29,16959.16,5185.11
Time to First Token (ms),8705.66,487.49,17760.38,174113.19,563.41,867.10,909.45,2391.90,10072.60,12675.31,13533.36,13754.29,16959.16,5185.11
Time to Second Token (ms),45.72,0.00,71.11,914.37,1.72,8.60,31.64,43.16,46.47,54.98,62.30,65.36,69.96,16.53
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Cache Read Tokens (tokens),361.20,3.00,1313.00,7224.00,3.00,3.00,3.00,3.00,132.50,682.75,1022.70,1197.10,1289.82,433.02
Usage Prompt Tokens (tokens),584.90,13.00,1639.00,11698.00,15.09,23.45,24.90,67.00,439.00,1002.00,1321.50,1444.25,1600.05,516.81
Usage Total Tokens (tokens),883.40,98.00,1904.00,17668.00,119.09,203.45,265.70,487.25,768.50,1314.25,1626.70,1680.75,1859.35,518.56

Metric,Value
Benchmark Duration (sec),474.11
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),12.59
Overall Usage Prompt Cache Read % (%),61.75
Request Count,20.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),11698.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),37.27
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Cache Read Tokens (tokens),7224.00
Total Usage Prompt Tokens (tokens),11698.00
Total Usage Total Tokens (tokens),17668.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
